food,pricerange,area,name,utts
chinese,cheap,,,I am looking for a restaurant. I would like something cheap that has Chinese food.
,expensive,centre,,I'm looking for an expensive restaurant in the centre if you could help me.
gastropub,,,,"Yeah, could you recommend a good gastropub?"
european,expensive,,,"I want to find an expensive restaurant and serves european food. Can i also have the address, phone number and its area. ?"
crossover,,,,Where's a good place to eat crossover food in Cambridge?
,expensive,south,,I am looking for a restaurant that is in the expensive price range and in the south part of town.
chinese,expensive,,,Can you help me find an expensive Chinese food restaurant?
bistro,,centre,,"I'm looking to go to dinner tonight and am in the mood for some good Bistro in the centre of town, can you find me some options?"
,,,travellers rest,I am looking for a particular restaurant. Its name is called travellers rest
african,expensive,,,"Heya, can you find me an expensive restaurant with north african food?"
,,,,I am looking for a restaurant.
,,,bangkok city,"Hi, what can you tell me about the bangkok city restaurant?"
,expensive,centre,,Please find me a place to dine that's expensive and in the centre.
,,,ask,I'm looking for a particular restaurant called ask. Please give me information on that restaurant.
,,south,,"Hey, I'm up south can you give me a place to eat?"
,,,,I am looking for information in Cambridge. I need a place to dine.
,expensive,centre,,I'm looking for a place to eat. I would like it to be an expensive restaurant in the centre.
,,west,,We will be on the west side of town and would like to find a place to eat while there.
,expensive,centre,,Let's find me an expensiove place to eat in the centre
,expensive,centre,,I would like to eat in the Center of town at a expensive place.
,moderate,south,,"Hi, I want a moderately priced restaurant located in the south part of town."
turkish,cheap,,,I would like inexpensive Turkish food.
world,,,,I would like a restaurant that serves world food
british,,south,,I need a South restaurant with british food.
french,expensive,,,Are you able to find me a french expensive restaurant?
bistro,moderate,,,"Good morning, I need help finding a restaurant that serves bistro in the moderate price range."
,moderate,centre,,Can you help me find a moderately priced place to eat located in the centre?
,expensive,centre,,I want to find an expensive restaurant in the centre of town.
,cheap,centre,,What are my options for cheap restaurants in the city center?
corsica,,centre,,Is there any place here in the centre that serves corsica food?
scandinavian,cheap,,,I am looking for a cheap restaurant that serves Scandinavian food
international,,,,I'm looking for a restaurant that serves international food.
,expensive,south,,I'm looking for an expensive restaurant in the south part of town
chinese,,east,,"I want to find a restaurant in the east part of town. It serves chinese food. What is the address, phone number, and postcode?"
,expensive,centre,,I'd like to find out more about expensive restaurants in the city centre.
gastropub,expensive,,,I want to eat at an expensive gastropub restaurant
dontcare,moderate,,,I want something that's moderately priced. Any type of food.
,cheap,,,I am looking for a cheap restaurant.
,,centre,,I am looking for a restaurant in the centre of town.
,expensive,centre,,I'm looking for an expensive restaurant in the center of town.
,cheap,centre,,Can you help me find a cheap restaurant in the centre?
,moderate,centre,,I would like a restaurant in the centre and in the moderate price range.
,,,royal spice,Hi! Can you give me some information on the Royal Spice restaurant?
portuguese,,,,"Hello, I am looking for a restaurant that serves Portuguese food."
,,south,,Looking for a restaurant on the South part of town?
french,,,,I am looking for a French restaurant.
,expensive,centre,,I'm looking for an expensive restaurant in the center of town.
portuguese,cheap,,,I'm looking for a cheap portuguese restaurant
chinese,cheap,,,I'm looking for some cheap Chinese food. Got any restaurants that fit the bill?
indonesian,moderate,,,I'm looking for an indonesian restaurant that's moderate in price.
modern eclectic,cheap,,,I'm in the mood for some modern eclectic food so please find me a cheap restaurant that sells some
,,,,"Yes, I am looking forward to trying some local restaurants when I am there. Can you help me find a place to dine?"
african,cheap,,,I'm looking for an inexpensive African restaurant.
,,,restaurant two two,i am looking for a particular restaurant. Its name is called restaurant two two.
,,,curry prince,"Hi, I'm going to be visiting soon, and I am interested in trying a restaruant called Curry Prince. Could you give me more information about it?"
,,centre,,I need to find a place to eat in Centre please.
belgian,cheap,,,Is there a cheap restaurant serving belgian food?
chinese,moderate,,,Can you find me a moderately priced chinese restaurant please
scandinavian,,dontcare,,I would like a restaurant in any area that serves scandinavian food
