utts	labels
Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet.	find_hotel
Hi there! Can you give me some info on Cityroomz?	find_hotel
I am looking for a hotel named alyesbray lodge guest house.	find_hotel
I'm looking for a places to go and see during my upcoming trip to Cambridge.	find_hotel
I need a place to stay that has free wifi.	find_hotel
I am looking for a high priced hotel in the north side of town	find_hotel
I'm looking for a hotel, can you help?	find_hotel
I will be staying in Cambridge. I need a hotel with wifi.	find_hotel
I live in the centre of town and want to see if I can find a reasonable room for my parents to stay while they are visiting.	find_hotel
I would like to find a cheap hotel to stay at where there is free parking. Do you have any suggestions?	find_hotel
I am looking for a 4 star place to stay.	find_hotel
I would like to find out information about a hotel called Warkworth House.	find_hotel
I need a hotel with free wifi and free parking, thank you	find_hotel
I'm looking for a hotel that includes free wifi and free parking.	find_hotel
Can you help me find a place to stay that's four stars and has free wifi?	find_hotel
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?	find_hotel
Hello, I'm looking for a place to stay in town. I'd like a place with free parking and a 2 star rating, please.	find_hotel
Can you help me in finding a suitable guesthouse please?	find_hotel
Hi! Would you please help me find a hotel to stay at?	find_hotel
Could you help me find a 0 star hotel?	find_hotel
I'm looking for a hotel called Kirkwood House please.	find_hotel
Can you help me find a place to stay that is expensive and includes free parking?	find_hotel
I would like a guesthouse in the moderate price range. Do you think you could find one for me?	find_hotel
I am looking for a hotel that gives me free parking and free wifi.	find_hotel
I am looking for a place to stay. The hotel should include free wifi and should be in the type of hotel	find_hotel
Can you find me a 3 star hotel in the centre?	find_hotel
I need a three star hotel with internet. Can you help?	find_hotel
I'm looking for a hotel called city centre north b and b	find_hotel
I am look for a hotel near the beach near the main strip	find_hotel
I am looking for information about a hotel called the autumn house.	find_hotel
I am looking for a place to stay.	find_hotel
I'm looking for a cheap place to stay. Can you help?	find_hotel
I'm looking for a hotel, is that something you help with?	find_hotel
I need a list of cheap places to stay that include free parking.	find_hotel
I'm looking to get some info about a hotel called Home from Home	find_hotel
Hi, I need a hotel on the west side, please.	find_hotel
Hey, I need a place to stay with free wifi and free parking.	find_hotel
I am looking for a certain hotel. Could you see if you might have any info on it?	find_hotel
I am looking for a place to stay	find_hotel
Hi, I could use help with my planning. I am trying to find a place to stay.	find_hotel
I am looking for a place to stay. The hotel should be in the type of guesthouse and doesn't need to include internet	find_hotel
I am looking for Warkworth House hotel. Any information on it?	find_hotel
Hi, I need a place to stay with free wifi and in a moderate price range.	find_hotel
I am looking for a hotel in Cambridge.	find_hotel
Can you give me some information on the Avalon Hotel?	find_hotel
I am looking for the Limehouse hotel.	find_hotel
I need a cheap place to stay, what would you recommend?	find_hotel
Howdy, it would help me a great deal if you could please get me some information about the alexander bed and breakfast	find_hotel
Can you help me find somewhere to stay with free wifi?	find_hotel
Hi, I'm looking for a guesthouse. Do you know of any 4-star properties?	find_hotel
I need a place to stay in the north that includes free parking. What options are available?	find_hotel
I need a cheap, 2 star hotel to stay at here in Cambridge	find_hotel
I'm looking for a place to stay. I'd like a hotel, not a guesthouse, and I don't care about internet.	find_hotel
Hi there, I'm hoping you can help me find a hotel in the south of Cambridge.	find_hotel
I am looking for a cheap hotel that includes free parking.	find_hotel
I'm looking for a cheap hotel in the north.	find_hotel
I need some lodging accommodations. It needs to have free parking and Internet please!	find_hotel
I am looking for a guesthouse that has free parking.	find_hotel
I need a place to stay that doesn't have to have internet and is in the expensive price range please.	find_hotel
Can you find a 4 star hotel in the north side?	find_hotel
I need a moderately priced guest house.	find_hotel
I am looking for a place to stay with 4 stars.	find_hotel
Hi, I'm looking for a 4-star hotel with free wifi.	find_hotel
i need a place to stay	find_hotel
I need a place to stay that is cheap.	find_hotel
I'm looking for a hotel called hamilton lodge.	find_hotel
I'm looking for a moderately priced guest house. Can you recommend one?	find_hotel
I sure hope so. A friend recommended the Alexander Bed and Breakfast. What can you tell me about it?	find_hotel
I want to find a place to stay that is a guesthouse and has free parking.	find_hotel
Hi, I'm looking for a 1 star place to stay with free wifi.	find_hotel
Can you find me a hotel in the northern area that isn't to cheap or expensive?	find_hotel
Can you find me a guest house?	find_hotel
I am looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking	find_hotel
Could you help me find a place to stay? I need a place in town that offers free parking and free wifi.	find_hotel
Hi. I'm looking for some moderately priced rooms for the night in the centre of town. Where can I go for that?	find_hotel
I am looking for a guesthouse that has free parking.	find_hotel
I am looking for a hotel that is in the expensive price range.	find_hotel
I'm looking for a hotel called the a and b guest house. Can you help me out?	find_hotel
I need a place to stay and I want it to be a guesthouse.	find_hotel
I'm looking for a moderately priced guesthouse for the night.	find_hotel
Can you help me find a place to stay that is moderately priced and includes free wifi?	find_hotel
I'm looking for a pleasant guesthouse to stay in. Would you be able to help me find one?	find_hotel
I am looking for a 3 star hotel to stay in.	find_hotel
I am looking for a place to stay that has free wifi.	find_hotel
I'm looking for a 2 star hotel in the north.	find_hotel
Are there good hotels that you can book?	find_hotel
I am looking for a hotel call arbury lodge guesthouse.	find_hotel
Yes, hopefully you can help with some information on a particular hotel?	find_hotel
I'm looking for a place to stay, I would prefer a hotel in the expensive price range.	find_hotel
Where do I get info on hotels?	find_hotel
Hi, I am looking for information on a place to stay.	find_hotel
I am looking for the gonville hotel. Can you help me?	find_hotel
Can you find a room available at a 4 star hotel with free wi-fi?	find_hotel
I will be going to Cambridge to do the tourist thing and would like a hotel in the moderate price range.	find_hotel
I am looking for a hotel with free parking in the North.	find_hotel
I am searching for a guesthouse in town that has free parking, do you know of any?	find_hotel
Hi, can you help me find a place to stay? I'd like a hotel on the north side, please.	find_hotel
I'm looking for a guesthouse that includes free parking.	find_hotel
Hi, can you help me find a place to stay on the north side?	find_hotel
I am looking for a place to stay. Can you help me out?	find_hotel
I'm looking for a 3-star lodging with free wifi.	find_hotel
I need a 5 star luxury hotel with a jacuzzi.	find_hotel
I'd like to find a moderately priced hotel with free wifi.	find_hotel
Can you tell me about a nice guest house in your city? I don't care how much it costs.	find_hotel
Can you help me find a guesthouse with free parking?	find_hotel
I need help finding a place to stay in the east.	find_hotel
Hi, I would like to book a 4 star guesthouse in Cambridge	find_hotel
I am looking for a hotel called The Cambridge Belfry. Can you help me with this?	find_hotel
Hey, I'd like to find a hotel in the north, today.	find_hotel
I am looking for a place to stay. in the west	find_hotel
I need to find information on home from home.	find_hotel
Hello! I'm looking for the hotel called Cityroomz. Can you give me some information, please?	find_hotel
Hi, I could use some help with information on places to stay.	find_hotel
I am looking for a room and want to see if I can find somewhere that has 3 stars. Can I get some help with that?	find_hotel
Can you help me with finding a hotel today, please?	find_hotel
I am looking for a place to stay. The hotel should be in the east and should include free wifi	find_hotel
I need a hotel with free parking, thanks!	find_hotel
Yes, could you please tell me about the Alpha-Milton guest house?	find_hotel
Are there any moderately priced hotels that have free parking, or do they all charge extra for that?	find_hotel
Could you help me find a 3 star guesthouse?	find_hotel
I need a guesthouse, with parking that is free.	find_hotel
I am looking for hotel with a star five rating and free wifi	find_hotel
I am looking for a place to stay.	find_hotel
I am looking to get some information on the acorn guest house.	find_hotel
I'm looking for a 2 star hotel.	find_hotel
I'm looking for a hotel with free parking, Please give me a 3 star guesthouse hotel	find_hotel
Could you help me find a place to stay on my upcoming trip?	find_hotel
Hi. I need to book a guesthouse that has free parking, can you help me?	find_hotel
Hello, I'm looking for a cheap place to stay with 4 stars.	find_hotel
Hi. Could you help me find a hotel for my trip?	find_hotel
I need a place to stay. Find me a hotel with free wifi.	find_hotel
I am looking for a 4 star hotel with free wifi.	find_hotel
I'm looking for an expensive guesthouse to say at.	find_hotel
I need to find a 4 star rated place to stay with free parking.	find_hotel
